Product,price,Shipping_cost
Samsung Galaxy S8 - 64GB (Cricket) Smartphone - Clean ESN - FOR PARTS or REPAIR,$60.00,28.60
Samsung Galaxy Z Flip 3 5G F711U1 Factory Unlocked 256GB Black Very Good,$259.99,34.50
SAMSUNG SGH P520 GIORGIO ARMANI CELL PHONE,$16.11,16.11
"Samsung Galaxy A20 SM-A205U 32GB+3GB RAM 6.4"" Unlocked Smartphone-New Unopened",$105.00,29.93
"Motorola Tonga 22 XT2165-3PP,64GB, Black, Unlocked,yellow Spots,Fair Con:CC623",$49.00,28.28
Samsung Galaxy S7 active SM-G891 - 32GB Unlocked Smartphone - LCD Burn - Grade B,$59.99,38.43
LOT OF 10 Samsung Galaxy S5 active G870a/G870w mix colors read please,$169.95,31.08
Samsung Galaxy A42 5G 128G Unlocked Smartphone BLACK EXCELLENT CONDITION,$169.78,26.14
Samsung Galaxy Tab2 10.1 Tablet Great Condition Working With Box + Cables,$102.07,21.38
"Samsung Galaxy S9 64GB Unlocked Black, Blue, Purple, Grey Android 4G | Very Good",$183.63,26.61
Samsung Galaxy S5 SM-G900V 16GB GSM & CDMA Unlocked Smartphone EUC,$49.89,76.69
Samsung Galaxy A71 5G SM-A716U 128GB+6GB 64MP Unlocked Smartphone- New Unopened,$212.00,ree s
Samsung Galaxy S20 FE 128GB G781UW Verizon Locked with LCD Shadows - Excellent,$152.99,30.58
New ListingSamsung Galaxy S3 SPH-I710 Sprint Blue 16GB Fast Ship Good Used Cracked Glass,$36.88,27.15
Samsung Galaxy S7 - G930T - 32GB - Black (T-Mobile) Smartphone,$59.90,27.83
New Samsung Galaxy Watch Active 2 R835 40mm GPS+Cellular LTE T-Mobile Watch,$69.95,28.90
Samsung Galaxy S7 Active SM-G891A - 32GB (GSM Unlocked) Read Please,$34.99,27.09
Working Samsung SGH Z107 Silver (Unlocked) Mobile Phone flip phone classic z105,$50.30,12.56
Samsung Galaxy S5 SM-G900V 16GB Verizon CDMA Unlocked Smartphone Black Grade A,$49.04,39.11
Samsung Galaxy J2 J260 4G LTE Smart Phone UNLOCKED Tello T-MOBILE Ultra *B GRADE,$26.91 to $32.22,36.81
"Samsung Galaxy A13 5G 64GB 6.5"" 4GB RAM Black (T-Mobile) Smartphone - Good",$85.00,28.57
"SAMSUNG Galaxy A54 5G (256GB, 8GB) 6.4"" GSM Unlocked, Global 4G LTE A546E/DS",$299.99,34.91
"Very Good! Verizon 6.5"" Samsung Galaxy A13 SM-A135U 32GB Black Smartphone",$99.00,28.98
For AT&T - Samsung Galaxy S21 5G 6.2'' SM-G991U 128GB Phantom White - Open Box,$269.00,34.00
Samsung  Galaxy A53 5G 128GB 6GB RAM Total Verizon Prepaid NO BOX Tracfone,$175.00,31.22
"Samsung Galaxy Grand Duos I9082 Unlocked 3G 8GB Dual Sim Android Original 5""",$71.77,ree s
New ListingSamsung Galaxy Tab A 8.0 (2015) SM-T350 WIFI 16GB Gray Good,$69.99,28.90
"UNLOCKED Samsung Galaxy S22+ Plus SM-S9060 AT&T 128GB 6.6"" Smartphone Very Good",$348.99,37.13
"Brand New Samsung Galaxy A24 A245M 128GB 4GB 6.5"" Unlocked",$211.20,33.06
"SAMSUNG Galaxy A03s Cell Phone, Factory Unlocked Android Smartphone, 32GB",$99.99,29.01
UNLOCKED or T-Mobile Samsung Galaxy J3 SM-J327 4G LTE Smart Cell Phone *B GRADE*,$29.90 to $42.80,29.64
Samsung Galaxy S9 G960F 64GB - 4G - Unlocked - Smartphone,$225.14,28.05
Samsung Galaxy A51 SM-A515U Verizon Unlocked 128GB Prism Crush Black Very Good,$119.99,30.37
Samsung Galaxy S10+ SM-G975U - 128GB - Prism Black (Factory Unlocked) GSM/CDMA A,$199.98,31.96
For Samsung Galaxy Z Flip3 / Flip4 / Flip5 5G Shockproof Stand Rugged Case Cover,$7.97 to $11.39,26.40
Samsung Galaxy S20 FE 5G G781U 128GB Factory Unlocked (GSM+CDMA) Mint SHADOW,$155.00,30.63
NEW Samsung Galaxy S20 5G SM-G981U1 128GB Fully Unlocked AT&T Verizon T-Mobile,$299.88,35.68
NEW Samsung Galaxy A12  64GB 4GB Ram Unlocked Dual SIM 5000MAh,$238.96,28.51
Samsung Galaxy A21 SM-A215U - 32GB - Black (T-Mobile) (Single SIM),$95.00,36.29
Samsung Galaxy S21 5G SM-G991U - 128GB - Phantom Gray (T-Mobile) Excellent,$185.00,36.50
For Samsung Galaxy S21 Ultra S21 / S20 FE Case Cover Leather Wallet Book Phone,$8.79,12.58
Samsung Galaxy A51 A515U Factory Unlocked 128GB Black Very Good Medium Burn,$90.00,28.72
Samsung Galaxy Note 10+ 5G SM-N976V Factory Unlocked 512GB Aura Black Good,$299.99,35.68
Samsung Galaxy S10e SM-G970U Verizon Unlocked 128GB Prism Blue Very Good,$119.99,30.37
New ListingSamsung Galaxy S20 5G SM-G981U Boost Mobile Unlocked 128GB Gray A+  Heavy Burn,$139.99,30.19
New UNLOCKED Samsung Galaxy A52 5G A526U1 Sealed Box Any GSM Carrier WORLDWIDE,$269.95,34.03
Samsung Galaxy S20 5G 128GB Gray White Pink Blue G981U (Unlocked) Open Box,$239.00 to $245.00,33.11
Samsung Galaxy J4 16GB Smart Phone Dual Sim Unlocked Lavender GRADE A,$69.16,22.66
Samsung Galaxy A32 5G SM-A326U 64GB Black T-MOBILE ONLY SMARTPHONE- EXCELLENT,$93.50,28.82
Shockproof Clear Case For Samsung Galaxy S24 S23 Plus S22 S22 Ultra Slim Cover,$9.45,26.34
Samsung Galaxy S24+ (S24 Plus) 5G AI 256GB 512GB Unlocked New Sealed ⭐Tracking⭐,"$1,177.99 to $1,304.49",25.49
SAMSUNG SGH X830 GSM UNLOCKED SIM FREE UNLOCK CELL PHONE,$64.45,16.11
For Samsung Galaxy Series Shockproof Kickstand Ring Rugged Phone Case Cover,$7.97 to $11.39,26.40
Samsung Galaxy S21 5G 128GB Dual SIM Phantom Violet Excellent Condition Unlocked,$270.40,36.14
For Samsung Galaxy S24 Ultra Shockproof Full Case Cover + Screen Protector,$13.96,26.47
New&Sealed Samsung Galaxy S8+ 64GB SM-G955U(USA)/SM-G955F(Global) Fully UNLOCKED,$214.99 to $234.99,ree s
Samsung Galaxy A14 (A145M) 128GB/4GB RAM GSM Unlocked (Only 4G/LTE) (NEW),$159.99, 
NEW Samsung Galaxy A12  64GB 4GB Ram Unlocked Dual SIM 5000MAh,$238.96,28.51
Samsung Galaxy A21 SM-A215U - 32GB - Black (T-Mobile) (Single SIM),$95.00,36.29
"SAMSUNG GALAXY A10E 5.83"" SM-A102U 32GB Black (Verizon) Smartphone - Pristine",$85.00,28.57
Samsung Galaxy A02s - 32GB - Black (Metro by T-Mobile) (Single SIM) OPEN BOX,$84.99,29.34
Samsung Galaxy S22 SM-S901U 5G - 256GB Unlocked Smartphone - Very Good Condition,$359.99,36.68
Case for Samsung Galaxy S20 FE S21 S22 S10+ 360 Shockproof Protective TPU Cover,$7.53,12.58
For Samsung Galaxy S24 Ultra Military Grade Heavy Duty Shockproof Case Cover,$11.39,26.40
New ListingSamsung Galaxy S22 Ultra SM-S908U - 256GB - Black (Unlocked) **See Condition**,$525.00,42.32
Samsung Galaxy XCover 5 SM-G525F/DS - 64GB - Black (Unlocked),$211.29,32.51
Samsung Galaxy A32 5G SM-A326U 64GB Black T-MOBILE ONLY SMARTPHONE- EXCELLENT,$93.50,28.82
Samsung G730 Galaxy S3 Mini Verizon Wireless 4G LTE Smartphone - Excellent 8/10,$37.98,27.95
Case for Samsung Galaxy S20 S10Plus 360 Shockproof Protective Silicone TPU Cover,$7.53,12.58
Refurbished Samsung Galaxy S21 5G G991U (Fully Unlocked) 128GB Phantom White (Gr,$247.99,33.38
Used Samsung Galaxy XCover Pro SM-G715A - 64GB - Black - ATT ONLY - Good Conditi,$76.50,28.32
Samsung Galaxy A14 (A145M) 128GB/4GB RAM GSM Unlocked (Only 4G/LTE) (NEW),$159.99, 
Mobile Phone Samsung Smartphone Android Phone 5st Untested,$161.11,80.58
Samsung Galaxy A10 (SM-A105M/DS) 32GB (GSM Unlocked) Dual SIM Smartphone - K1297,$68.99,28.10
"Brand New Samsung Galaxy A54 5G A546E 256GB 8GB 6.4"" Unlocked",$370.68,37.77
Samsung Galaxy S21 FE 5G SM-G990U 256GB (Factory Unlocked) Smartphone- Excellent,$363.99,36.80
6d Tempered Glass For Samsung Galaxy S23 S22 S21 Screen Protector Case Friendly,$5.02 to $10.05,12.58
Samsung Galaxy A03s Black 32GB (boost mobile),$57.99,27.77
For Samsung Galaxy S24/S23/S22 Ultra Case Belt Clip Fit Otterbox+Tempered Glass,$11.39 to $23.74,19.14
"Samsung Galaxy A21 SM-A215U 32GB ROM 3GB RAM 6.5"" Unlocked Smartphone-New Sealed",$143.00,ree s
New ListingSamsung Galaxy Note 10+ SM-N975U Factory Unlocked 512GB Black A Medium Burn,$219.99,32.55
Samsung Galaxy Z Flip 3 5G SM-F711U1 Factory Unlocked 128GB Green Very Good,$239.99,33.91
"Case For Samsung Galaxy S23/S23+/S23 Ultra, Shockproof Ring Stand Phone Cover",$7.97,26.30
Samsung Galaxy A03s 32GB Black Unlocked - Excellent,$65.00 to $75.00,28.10
98% New SAMSUNG C3520  Bluetooth MP3 FM Radio GSM Flip Unlocked Cell phone,$36.00 to $40.00,ree s
DEFECTIVE - Samsung Galaxy S20+ 5G  - 128GB - Black - GSM Unlocked - 4016,$157.99,30.72
"Excellent! Fully Unlocked 6.5"" Samsung Galaxy A12 32GB Black SM-A125U Smartphone",$109.00,30.05
Shockproof Clear Case For Samsung Galaxy S24 S23 Plus S22 S22 Ultra Slim Cover,$9.45,26.34
For Samsung A13 A53 A34 A33 A23 A52 A32 A22 Shockproof Silicone Carbon Gel Case,$4.97,20.45
Simple Mobile Samsung Galaxy A10e 32GB Black SM-S102DL Smartphone GOOD CONDITION,$59.99,27.83
OpenBox Samsung Galaxy S21 Ultra 5G SM-G998U 128GB GSM+CDMA Unlocked Black,$439.99,46.80
Samsung Galaxy Z Flip3 5G 128GB F711U (T-Mobile) - Excellent,$219.99,32.55
Shockproof Armor Case For Samsung Galaxy S23/S22 ULTRA/ PLUS /,$12.99,49.50
Samsung Galaxy S20 5G 128GB Gray White Pink Blue G981U (Unlocked) Open Box,$239.00 to $245.00,33.29
Samsung Galaxy S5 SM-G900A 16GB AT&T 4G LTE GSM Unlocked Smartphone White MINT,$53.88,27.65
Samsung Galaxy A20 SM-A205U - 32GB - Black (GSM Unlocked) 3B3,$99.99,29.01
Samsung Smartphone Android 15st Mobile Phone,$214.83,80.58
Samsung Galaxy S21 Ultra 5G SM-G998U - 128GB - Phantom Silver Unlocked  Grade B+,$312.99,35.30
Samsung Galaxy Note 10+ SM-N975U Factory Unlocked 256GB Aura Blue Good,$249.99,33.44
Samsung Galaxy J6 2018 32GB 64GB Unlocked All Colours A+ Excellent Condition,$75.45,22.88
Samsung Galaxy Z Flip4 5G SM-F721B/DS 128/256GB Unlocked A+ Excellent Condition,$490.51,27.66
"New ListingSAMSUNG Galaxy A12 Black, Unlocked",$169.96,31.85
New ListingSamsung Galaxy Note 10+ SM-N975U1 Factory unlocked Unlocked 256GB White Good,$249.99,34.21
Samsung Galaxy S9 SM-G960F - 64GB - LILAC PURPLE  (Unlocked) Smartphone Grade A-,$169.73,37.73
Samsung Galaxy S6 Edge 32GB Unlocked  4G  Android Smartphone Very Good Condition,$100.61,23.75
Samsung Galaxy A40 SM-A405FN/D Dual SIM 64GB+4GB Unlocked Smartphone-New Sealed,$153.00,ree s
"Samsung Galaxy A03S 32GB (TracFone) 6.5"" 4GB RAM Black Smartphone - Pristine",$75.00,28.27
Samsung Galaxy A13 5G SM-A136U 64GB+4GB 64MP Unlocked Smartphone- New Sealed,$168.00,ree s
Samsung Galaxy A21S 32GB 5G Unlocked Black - 25% EXTRA OFF - VERY GOOD A,$169.78,26.14
Samsung Galaxy A23 5G SM-A236U 64GB Black 6.6'' 50MP Quad Came (T-Mobile) - Good,$105.00,29.16
Samsung Galaxy Note 10+ 5G SM-N976V Verizon Unlocked 256GB Aura Black C,$219.99,32.55
Samsung Galaxy S8 SM-G950U T-Mobile Unlocked 64GB Arctic Silver C Medium Burn,$69.99,28.13
SAMSUNG SGH Z560 GSM UNLOCKED SIM FREE UNLOCK CELL PHONE,$53.71,16.11
NEW Samsung Galaxy S10 SM-G973F 6/128GB Dual SIM Prism White Unlocked Smartphone,$300.59,30.65
Samsung Galaxy S5 SM-G900V 16GB Verizon CDMA Unlocked Smartphone Black Grade A-,$53.81,28.42
Samsung Galaxy S20 FE 5G 128GB (Verizon) SM-G781V Cloud Navy - Good Condition,$144.59,31.10
Fully UNLOCKED Samsung Galaxy S20+ Plus 5G SM-G986U 128GB Blue Phone Very Good,$195.99,32.62
New ListingSamsung Galaxy S3 SCH-S968 Tracfone White 16GB Fast Ship Very Good Used,$44.88,27.39
Samsung Galaxy S22 5G - 256GB- Phantom Black (Unlocked) - Good Condition,$559.57,39.58
Samsung G965 Galaxy S9+ Plus 64GB Unlocked Smartphone - Very Good,$169.99,31.85
Samsung galaxy A03 Works Perfectly Fine,$45.00,34.11
Samsung Galaxy S8 SM-G950F 64GB Unlocked Android Smartphone Good Condition,$125.76,27.66
Samsung Galaxy A51 SM-A515 5G UW 128/6GB LTE NFC Unlock Android Smartphone-Blue,$188.65,26.78
Case For Samsung S20 FE A21s A52 A12 A51 Shockproof 360° Full Cover Protective,$7.53,12.58
Fully Unlocked Samsung Galaxy A23 A236U 5G 64GB Black Smartphone Good,$146.99,31.17
"Samsung Galaxy A03s Black 6.5"" 32GB 4G Unlocked & SIM Free Smartphone - Black",$176.07,26.35
Samsung Galaxy A05 Android Unlocked GSM 128GB /4GB INT'L VERS  Cell Phone SL,$129.97,30.67
Samsung Galaxy A13 5G A136U 64GB- Choose Your Carrier,$79.95 to $89.95,75.00
Samsung Galaxy S9 G960U 64GB Fully Unlocked Verizon AT&T T-Mobile ALL COLORS,$144.99,30.34
Samsung Galaxy S20 FE 5G G781V Verizon ULK 128GB Navy Very Good Extreme Burn,$119.99,29.60
AT&T Samsung Factory Unlock (SAMSUNG S20 S20+ PLUS S20 ULTRA S20 FE 5G Z FLIP),$14.99,26.50
"UNLOCKED Samsung Galaxy S22+ Plus SM-S9060 AT&T 128GB 6.6"" Smartphone Very Good",$348.99,37.13
New Listingsamsung galaxy note 10 lite,$226.40, 
NEW  SAMSUNG GALAXY  A01 (A015FD) Dual Sim Unlocked 16GB Smartphone 4G LTE BLACK,$238.96,28.51
Samsung Galaxy A03 DS-32GB -Black ( Unlocked) UK SELLER Free next Day Delivery!,$119.49,8.18 
New ListingGalaxy Samsung A72,$268.60,26.86
SAMSUNG Galaxy A14 4G LTE (64GB +4GB) Factory Unlocked (EUR Version) BK,$136.87,30.87
Samsung Galaxy S7 SM-G930V Verizon Unlocked 32GB Black C,$54.99,27.68
1m USB to Type C Charger Charging Cable For Samsung S23 5g S22 S21 S10 S10+ S20,$7.53,12.58
Samsung pixon M8800,$25.00,18.00
New ListingSamsung Galaxy Tab S8+ (Wifi) SM-X800 WIFI 128GB Graphite Good,$479.99,40.99
"New ListingSamsung Galaxy S22+ 5G, 128GB BLACK- Unlocked 128 GB Phantom Black",$673.96,38.69
New ListingSamsung Galaxy A21s Phone,$24.00, 
Samsung Galaxy Folder G1600 Dual SIM 16GB LTE Flip SmartPhone- New Sealed,$108.00,ree s
Case for Samsung Galaxy S24 S24+ S23 S22 S21 S20 Shockproof Gorilla Clear COVER,$5.02 to $7.53,12.58
Samsung Galaxy S20 FE 5G SM-G781U 128GB 6GB RAM CDMA GSM Unlocked Lavender- Good,$165.00,31.70
95% New  Fully working Samsung Metro B350E SM-B350E unlocked 2G GSM mobile phone,$33.00,ree s
Samsung Galaxy S21 Plus 5G 128GB Violet - Unlocked Nice CONDITION,$325.76,21.38
New ListingSamsung Galaxy Tab Very Good 10.1 (2019) SM-T515 Unlocked 32GB Black Very Good,$149.99,31.26
Brand New Samsung GT-C3592 Flip Mobile Phone Unlocked - Dual Sim,$61.62 to $62.87,22.40
Samsung Galaxy A10e SM-A102U Verizon Unlocked 32GB Black Good,$54.99,27.68
Samsung Galaxy A11 Black 32GB 2GB RAM 6.4'' Android (For T-Mobile) - Open Box,$84.99,29.34
Samsung Galaxy S7 32GB 64GB - All Colours - Network Unlocked - Very Good,$100.56,23.75
Samsung Galaxy S5 SM-G900V 16GB GSM & CDMA Unlocked Smartphone,$49.89,62.18
Samsung Galaxy A12- Mic not Working,$78.16,25.63
Samsung Galaxy A22 5G SM-A226B 128GB Unlocked PURPLE ANDROID SMARTPHONE-GOOD,$148.75,30.45
Samsung Galaxy A40 SM-A405FN/D Dual SIM 64GB+4GB Unlocked Smartphone-New Sealed,$153.00,ree s
Samsung Galaxy S21 FE 5G SM-G990U1 Factory Unlocked 128GB Lavender Good,$199.99,32.73
"Brand New Samsung Galaxy A54 5G A546E 128GB 8GB 6.4"" Unlocked",$338.80 to $343.80,36.83
New ListingBroken Samsung Galaxy S3 SGH-T999 (T-Mobile) 16GB Fast Ship Good Used Cracked,$36.88,27.15
Samsung Galaxy A51 5G SM-A516U1 Factory Unlocked 128GB Prism Cube Black C,$99.99,29.01
Brand New Samsung Galaxy J7 Duos SM-J700F Dual SIM 16GB Unlocked Smartphone,$69.00,ree s
"Samsung Galaxy A03S 32GB (TracFone) 6.5"" 4GB RAM Black Smartphone - Pristine",$75.00,28.27
For Samsung Note 20 Ultra Single Sim Card Tray BLACK,$6.95,26.27
Case For Samsung Galaxy S23 & S23 Plus 5G Clear Shockproof Slim Gel Phone Cover,$2.50 to $5.02,20.39
Samsung Galaxy S20 FE 5G G781V Verizon Unlocked 128GB Mint Good Medium Burn,$139.99,30.19
Samsung Galaxy A13 5G SM-A136U 64GB+4GB 64MP Unlocked Smartphone- New Sealed,$168.00,ree s
Samsung Galaxy A21S 32GB 5G Unlocked Black - 25% EXTRA OFF - VERY GOOD A,$169.78,26.14
Samsung Galaxy S5 SM-G900V 16GB Verizon CDMA Unlocked Smartphone Black Grade A-,$53.81,28.42
New ListingSamsung Galaxy Tab Very Good 10.1 (2019) SM-T515 Unlocked 32GB Black Very Good,$149.99,31.26
OPEN BOX*Samsung Galaxy A03s - SM-A037U 32GB -BLACK-FACTORY UNLOCKED  CDMA+GSM,$99.99,29.01
New ListingSamsung Galaxy S8+ SM-G955U Factory Unlocked 64GB Black Excellent Heavy Burn,$69.99,28.13
Fair Samsung Galaxy S7 32GB Sapphire Black Verizon Android Smartphone SM-G930V,$44.99,27.39
Samsung Galaxy S22 5G - 256GB- Phantom Black (Unlocked) - Good Condition,$559.57,39.58
Samsung Galaxy A71 5G SM-A716U 128GB+6GB 64MP Unlocked Smartphone- New Unopened,$208.00,ree s
Samsung G965 Galaxy S9+ Plus 64GB Unlocked Smartphone - Very Good,$169.99,31.85
Samsung Galaxy Z Flip 4 SM-F721U Factory Unlocked 128GB Bora Purple Good,$279.99,34.32
360 Full Body Case for Samsung Galaxy S22 ULTRA A53 5G A13 S21 NOTE 20 COVER,$7.53,12.58
"New ListingVerizon Samsung Galaxy A13 LTE, 32GB, Black- Prepaid Smartphone [Locked to Ve...",$163.96,30.90
Samsung Galaxy S9 SM-G960F - 64GB - Coral Blue (Unlocked) Smartphone - Grade A,$142.11,44.02
9d Screen Protector For Samsung Galaxy S23 S22 S21 Tempered Glass CASE FRIENDLY,$5.02 to $10.05,12.58
Samsung galaxy A03 Works Perfectly Fine,$45.00,34.11
"Samsung Galaxy A03s Black 6.5"" 32GB 4G Unlocked & SIM Free Smartphone - Black",$176.07,26.35
Samsung Galaxy S20 FE SM-G781U 128GB 5G GSM Unlocked  - Image Burn,$139.99,30.96
Samsung Galaxy S20+ Plus 5G SM-G986U 128GB Unlocked GSM+CDMA All Carriers GOOD,$229.88,32.84
Samsung Z500 phone for sale,$55.00,20.00
Samsung Galaxy Core Prime Verizon (SM-G360V) 4G Smartphone IMEI: 990004839426602,$29.95,26.95
Samsung Galaxy A23 5G UW SM-A236V Verizon Unlocked 64GB Black C,$109.99,29.31
AT&T Samsung Factory Unlock (SAMSUNG S20 S20+ PLUS S20 ULTRA S20 FE 5G Z FLIP),$14.99,26.50
New ListingSamsung Verizon RED Cell Phone Slider SCH-U450 For Parts,$8.00,32.95
Samsung Galaxy A51 5G A516V Verizon Unlocked 128GB Blue Good Light Burn,$99.99,29.01
Samsung Galaxy A13 5G A136U 64GB- Choose Your Carrier,$79.95 to $89.95,75.00
"For Samsung Galaxy Note 20 ULTRA 5G , Full Body Clear TPU PC Cover Case",$7.53,12.58
Samsung Galaxy Z Flip 3 5G SM-F711U T-Mobile Unlocked 128GB Phantom Black Good,$194.99,32.59
Samsung Galaxy A03s SM-A037U Boost Mobile Unlocked 32GB Black Very Good,$70.00,28.13
Replacement Battery For Samsung Galaxy S9 SM-G960F EB-BG960ABE 3000mAh,$9.11,20.59
Samsung Galaxy S8 SM-G950F 64GB Unlocked Android Smartphone Good Condition,$125.76,27.66
SAMSUNG GALAXY Z FOLD4 256GB CREAM (SPECTRUM) USED.,$600.00,44.53
"New ListingMetro by T-Mobile Samsung Galaxy A12, 32GB, Black - Prepaid Smartphone",$187.96,32.38
NEW  SAMSUNG GALAXY  A01 (A015FD) Dual Sim Unlocked 16GB Smartphone 4G LTE BLACK,$238.96,28.51
Samsung Galaxy A03 DS-32GB -Black ( Unlocked) UK SELLER Free next Day Delivery!,$119.49,8.18 
Samsung Galaxy Folder G1600 Dual SIM 16GB LTE Flip SmartPhone- New Sealed,$108.00,ree s
Case for Samsung Galaxy S24 S24+ S23 S22 S21 S20 Shockproof Gorilla Clear COVER,$5.02 to $7.53,12.58
Samsung Galaxy A11 Black 32GB 2GB RAM 6.4'' Android (For T-Mobile) - Open Box,$84.99,29.34
Samsung Galaxy S7 32GB 64GB - All Colours - Network Unlocked - Very Good,$100.56,23.75
Samsung SGH-A747 - Gray ( AT&T ) Very Rare Flip Phone Untested,$10.00,25.60
Samsung Galaxy Z Flip - 256GB - Purple Chrome (Factory Unlocked),$450.00,34.66
Case for Samsung Galaxy A14 A34 A54 S22 S21 ULTRA S20 S23 360 Protective COVER,$7.53,12.58
Samsung Galaxy Note 10+ SM-N975U1 Factory Unlocked 256GB Aura White C,$229.99,32.85
Metro by T-Mobile Samsung Galaxy A03s 32GB Black Prepaid Smartphone Brand New,$87.99,29.43
Samsung Galaxy S9 SM-G960F 64GB Gold Black Blue Purple Unlocked Pristine,$176.02,37.73
GSM Unlocked Samsung Galaxy A13 5G 64GB Black A136U W/ RETAIL BOX EXCELLENT,$105.00,29.93
Samsung SGH C417 - (AT&T/Cingular) Cellular Phone used READ description,$12.99,26.45
Samsung SCH-A850 - Blue and Silver ( Verizon ) Rare Flip Phone - Untested,$10.65,26.38
"Excellent! GSM Unlocked 6.4"" Samsung Galaxy A20 SM-A205U 32 GB Black Smartphone",$99.00,28.98
UNLOCKED Samsung A71 5G SM-A716    Black (Verizon & UNLOCKED) 7/10 Shadow***,$109.70,29.30
EXCELLENT Samsung Galaxy A03s SM-A037U 32GB BLACK AT&T ONLY ANDROID 4G LTE,$94.99,28.86
New ListingSamsung Galaxy J3 SM-J337V 16 GB Black Verizon Smart Phone,$32.98,33.90
Samsung Galaxy Note 10+ SM-N975U1 Factory Unlocked 256GB Aura Black Good,$249.99,34.21
SAMSUNG SGH T100 GSM UNLOCKED SIM FREE UNLOCK CELL PHONE,$42.97,16.11
Samsung Galaxy A32 5G SM-A326U Boost Mobile Unlocked 64GB Awesome Black Good,$99.99,29.78
Samsung Galaxy Core Prime G360V Verizon Wireless 4G LTE 8GB Android  TF22,$49.99,27.54
Smartphone Samsung Galaxy Beam2 SM-G3858 3G with Built-in Projector Cellphone,$112.39,ree s
Original Samsung Galaxy Trend 3 G3502 5.0MP WIFI Dual Sim WCDMA 3G Smartphone,$37.11,27.16
Samsung Galaxy Z Flip3 5G 128GB F711U (T-Mobile) - Excellent,$219.99,32.55
Samsung Galaxy Note 20 Ultra / Galaxy Note 20 S-Pen Stylus,$21.10,26.68
Samsung Galaxy A50 SM-A505U Factory Unlocked 64GB Black Good Extreme Burn,$59.99,27.83
Samsung Galaxy S20 FE 5G SM-G781U 128GB 6GB RAM CDMA GSM Unlocked Lavender- Good,$165.00,31.70
Screen Protector Tempered Glass For Samsung Galaxy S23 S22 S21 S20 S10+ S9 S8,$8.79,12.58
Mobile Phone Samsung Smartphone Android Phone 5st Untested,$161.11,80.58
UNLOCKED / T-Mobile TELLO Samsung Galaxy A12 A125U LTE 32GB Smart Phone *A GRADE,$64.80 to $86.80,38.70
Samsung Galaxy S21 5G G991U (Fully Unlocked) 128GB Phantom Gray (Very Good),$217.99,32.49
95% New Samsung GT-E1205Y E1205Y 2G GSM Unlocked English keyboard Cellphone,$22.00 to $26.00,ree s
For Samsung Galaxy Note 9 Genuine Tempered Glass Screen Protector Case Friendly,$7.53,12.58
Samsung Galaxy Note 10+ 5G N976U T-Mobile Unlocked 256GB Glow C Light Burn,$209.99,32.26
New ListingSamsung Galaxy Tab A 8.0 (2015) SM-T350 WIFI 16GB Gray C,$49.99,27.54
Samsung Galaxy Z Flip 5 SM-F731U1 T-Mobile Unlocked 512GB Gray OPEN BOX,$599.99,44.53
"For Samsung S10  , Full Body 360 Ultra Slim Clear TPU Gel Cover Case",$7.53,12.58
Samsung Galaxy A54 5G Smartphone (128) GB Cricket Wireless Locked,$234.99,33.77
Factory Unlocked Samsung Galaxy S20 128GB 8GB RAM Blue Smartphone - Pristine,$229.00,32.82
🌟🌟NEW SAMSUNG GALAXY S215G SM-G991U1 128GB-FACTORY UNLOCKED SMARTPHONES🌟🌟,$349.99 to $419.99,36.39
AT&T Samsung Galaxy A51 5G 128GB Prism Cube Black SM-A516UZKAATT -*VG*SAM50*,$84.25,29.32
Samsung Galaxy S22 Ultra SM-S908U Factory Unlocked 256GB Burgundy OPEN BOX,$699.99,46.71
Samsung SCH-U620 Very Rare - Collectors - No Sim Card Slot - CDMA Verizon,$36.00,38.90
Samsung Galaxy Note10 - SM-N970U - 256GB - Silver- (Unlocked) - Excellent in Box,$239.99,33.91
Samsung Galaxy Note 20 5G N981U 128GB Gray Green Bronze (Unlocked) Open Box,$285.00,34.47
Samsung SGH-S390G Very Rare,$26.95,36.81
Samsung Galaxy S20 FE 5G SM-G781U 128GB Fully Unlocked GSM+CDMA All Carriers OB-,$219.00,33.29
Samsung Galaxy A53 A536U1-DS 5G DUAL SIM 128GB 64MP 🔓 Factory Unlocked (Black),$199.95,24.70
Samsung Galaxy S5 SM-G900T - 16GB - Black (T-Mobile) Unlocked Smartphone Grade A,$46.78,27.44
Samsung Galaxy A50 SM-A505U 64GB+4GB RAM 25MP LTE Unlocked Smartphone-New Sealed,$134.00,ree s
Samsung Galaxy Z Flip 256GB(SM-F700U) Purple (AT&T) - Bad LCD - See Below,$109.95,29.31
COLLECTIBLE CELL PHONE - SAMSUNG SGH-Z630 COMPLETE WITH BOX AND CHARGER,$42.97,41.90
Samsung Galaxy Z Flip 5 SM-F731U1 T-Mobile Unlocked 512GB Gray OPEN BOX,$599.99,44.53
Samsung Galaxy A52 5G 128GB LTE Black SM-A526 GSM Unlocked Open Box,$199.99,32.73
"For Samsung S10  , Full Body 360 Ultra Slim Clear TPU Gel Cover Case",$7.53,12.58
Samsung Galaxy A54 5G Smartphone (128) GB Cricket Wireless Locked,$234.99,33.77
AT&T Samsung Galaxy A51 5G 128GB Prism Cube Black SM-A516UZKAATT -*VG*SAM50*,$84.25,29.32
"Samsung Galaxy A21 SM-A215U 32GB ROM 3GB RAM 6.5"" Unlocked Smartphone-New Sealed",$137.00,ree s
