,Product,Minimum_price,Maximum_price2,Shipping_cost
584,"Samsung Galaxy S10+ SM-G975U 128GB 6.4"" Factory Unlocked Smartphone - New Sealed",270.54,270.54,ree s
585,"LOT OF 2!! Samsung Galaxy Note 5 64GB N920V Black "" Verizon "" (H158)",30.0,30.0,26.95
586,Samsung Galaxy Note 10 SM-N970U Factory Unlocked 256GB Aura Black C,179.99,179.99,31.37
587,For Samsung S23 S22 S21 S20 FE A13 A53 A23 A14 A54  CAMERA LENS Screen Protector,2.52,3.66,20.53
588,Samsung Galaxy S10 SMG973U 128GB Prism Black GSM Unlocked ATT & TMobile Carriers,167.99,167.99,31.02
589,Samsung Galaxy S8 SM-G950U Verizon Unlocked 64GB Coral Blue Excellent Light Burn,79.99,79.99,28.42
590,Samsung Galaxy S10 SM-G973U - 128GB - White (AT&T.H20 ) Fast Ship Read Please,89.5,89.5,62.05
591,"LOT OF 10 Samsung Galaxy S3 Blue/Black GSM Unlocked , International as well",199.95,199.95,55.01
592,Samsung Galaxy A05 A055M 128GB 4GB RAM GSM Unlocked International Version (New),125.99,125.99,30.55
593,Samsung Galaxy A40 SM-A405F/DS Unlocked Dual SIM 64GB Smartphone--New Unopened,154.42,154.42,ree s
594,Samsung Galaxy S21 FE 5G SM-G990U 128GB Unlocked Smartphone - Very Good,215.99,215.99,32.43
595,OPEN BOX-Samsung Galaxy A53 5G SM-A536V- 128GB - Awesome Black (Verizon)*SAM61*,159.95,159.95,30.78
596,Samsung Galaxy S21 5G SM-G991U Factory Unlocked 256GB Phantom Gray C,189.99,189.99,31.67
597,UNLOCKED - Samsung Galaxy A03s-S134DL-TracFone- 32GB Smartphone,67.0,67.0,28.04
598,Smartphone Samsung I8530 Galaxy Beam 3G Original 8GB ROM with Built-in Projector,99.53,99.53,ree s
599,NEW! Samsung Galaxy A54 SM-A546U1 5G 128GB 50MP GSM UNLOCKED 🔓 USA Warranty ✅,279.95,279.95,27.06
600,"Samsung Gusto2 Flip phone 3G (pre owned, unlocked, reset to factory settings)",14.99,14.99,35.50
601,"Samsung Galaxy S22 5G 128GB | 256GB FACTORY UNLOCKED 6.1"" Smartphone - GOOD.",298.0,328.0,34.85
602,Samsung Galaxy A25 5G Factory Unlocked Dual SIM GSM 128GB Cell Phone Blue,247.97,247.97,33.38
603,Samsung Galaxy S10 SM-G973U Factory Unlocked 128GB Prism Blue Good Medium Burn,119.99,119.99,29.60
604,"Samsung Galaxy S20 Plus 5G SM-G986W,128GB, Black, Light Shadow, Good Con:EE067",159.0,159.0,31.52
605,Samsung Galaxy S10 Plus SM-G975U 128GB Factory Unlocked Excellent- Screen Shadow,169.95,169.95,31.08
606,Samsung Galaxy S7 SM-G930V - 32GB - Black Onyx (Carrier Unlocked),27.0,27.0,37.46
607,"New ListingSamsung Galaxy A03 SM-A435F/DS 35 GB 2 International (Indian SIM) Model 6.5""",60.0,60.0,37.60
608,New ListingSamsung Galaxy S21 5G - 128GB - Phantom Gray (Verizon Locked) - Read Description,119.99,119.99,38.97
609,LOT OF 10 Samsung Galaxy S5 SM-G900v unlocked MIX color,159.95,159.95,30.78
610,Samsung Galaxy S21 5G SM-G991U Factory Unlocked 128GB Phantom White C,179.99,179.99,31.37
611,Samsung Galaxy Z Flip 3 5G SM-F711U Factory Unlocked 128GB Lavender C,169.99,169.99,31.08
612,For Samsung S20 FE A21s A52 A12 A51 TEMPERED GLASS SCREEN PROTECTOR / Case Cover,2.52,6.32,20.58
613,Samsung Memoir SGH-T929 - Black (T-Mobile) GSM CAMERA Cell Phone RARE Vintage!,68.01,68.01,41.29
614,Samsung Galaxy Tab A 10.1 (Wifi) SM-T510 Unlocked 128GB Black CPO KIT,129.99,129.99,30.67
615,Samsung Galaxy A10 SM-A105M/Cellphone (Blue 32GB) Unlocked Single Sim,84.99,84.99,29.34
616,New ListingSamsung Galaxy S21 FE 5G - 128GB  - BLACK - Unlocked - Excellent Condition,341.75,341.75,32.20
617,Samsung SGH F300  Ultra Music Unlocked Genuine fully working,69.0,69.0,20.00
618,Samsung Galaxy S20 FE 5G SM-G781U - 128GB - Cloud Red (Unlocked),191.23,191.23,54.75
619,New Samsung Galaxy Note 20 5G SM-N981U 128GB Fully Unlocked GSM+CDMA All Carrier,286.88,286.88,35.30
620,Samsung Galaxy A11 SM-A115U T-Mobile Unlocked 32GB Black Good,69.99,69.99,28.13
621,New ListingCase for Samsung Galaxy S24 ULTRA S23 S22 S21 S20 360 Shockproof Clear COVER,7.58,7.58,12.66
622,Samsung Galaxy S10+ G975U 128GB Factory Unlocked Android Smartphone - Very Good,171.99,171.99,31.14
623,Samsung Galaxy S10 SM-G973U Factory Unlocked 128GB Prism Blue Good Medium Burn,119.99,119.99,29.60
624,Samsung A34 5G  128GB+6GB GSM Factory Unlocked  Smartphone DS Awesone Violet,243.0,243.0,34.00
625,Samsung Galaxy A42 5G SM-A426U 128GB Prism Dot Black (Unlocked) - Open Box,145.0,145.0,31.11
626,Samsung Galaxy S22 5G S901U1 Factory Unlocked - Good,289.99,289.99,34.62
627,"NEW Samsung Galaxy S22+ PLUS 5G 128GB | 256GB FACTORY UNLOCKED 6.6"" Smartphone",424.0,468.0,38.57
628,Samsung Galaxy S20 FE 5G SM-G781U - 128GB - Cloud Red (Unlocked),191.23,191.23,54.75
629,Case for Samsung Galaxy S24 ULTRA S23 S22 S21 S20 S24+ Shockproof Clear COVER,5.05,7.58,12.66
630,Fully Unlocked Samsung Galaxy S23+ Plus 5G SM-S916 256GB 50MP Smartphone Good,598.99,598.99,44.50
631,SAMSUNG GALAXY NOTE 3 SM-N900W8 3 GB/32 GB Unlocked Black,111.5,111.5,13.38
632,BRAND NEW Samsung Galaxy A54 5G 128gb (Metro By T-Mobile) - Fast Shipping,249.99,249.99,34.21
633,Case For Samsung Galaxy S23 Ultra S23 Plus S23 Shockproof Ring Stand Phone Cover,7.97,7.97,26.30
634,"New Samsung Galaxy A6 SM-A600 - 32GB - Black AT&T Unlocked 5.6"" HD+ 4G LTE",79.99,79.99,28.42
635,"Samsung Galaxy A53 5G SM-A536U - 128GB, Black - Verizon/T-Mobile Or Unlocked - A",119.99,179.99,30.66
636,Samsung Memoir SGH-T929 - Black (T-Mobile) GSM CAMERA Cell Phone RARE Vintage!,68.01,68.01,41.29
637,Unlocked Samsung Galaxy Note GT-N7000 16GB 8.0MP Smartphone WiFi GPS Smartphone,55.99,55.99,ree s
638,"Samsung Galaxy Note 20 Ultra 5G SM-N986U,128GB,light Shadow,UnlK,FairCond:EE160",209.0,209.0,33.00
639,Samsung Galaxy Z Flip 4 SM-F721U Factory Unlocked 128GB Blue Excellent,299.99,299.99,34.91
640,For Samsung Galaxy S24 S23 Ultra S22 Plus S21 Clear Case Slim Shockproof Cover,9.45,9.45,26.34
641,Samsung Galaxy Xcover Pro SM-G715U1/ G715FN/DS Unlocked(Any Carrier)- New Sealed,145.0,185.0,ree s
642,SAMSUNG GALAXY S10 s10 plus s10 lite S10e 128GB SIM FREE UNLOCKED GRADEs,145.56,265.81,63.29
643,Samsung Galaxy A54 SM-A546B/DS - 256GB - Awesome Graphite (Without Simlock),378.07,378.07,32.41
644,Samsung Galaxy S8 SM-G955 - 64GB -  (Unlocked) Smartphone,373.4,373.4,33.29
645,Samsung Galaxy S21 5G SM-G991U Factory Unlocked 128GB Phantom White C,179.99,179.99,31.37
646,Samsung Galaxy J6 SM-J600FN (2018) 32GB 64GB Unlocked All Colours Good Condition,63.27,69.6,22.58
647,Brand new Samsung Galaxy A54 5G SM-A54U1 US Version Unlocked Smartphones,699.99,699.99,46.71
648,Samsung Galaxy S10E G970U (AT&T UNLOCKED) (EXCELLENT CONDITION),119.99,119.99,29.60
649,Samsung Galaxy S10 5G SM-G977U Factory Unlocked 256GB Black Good,179.99,179.99,31.37
650,Samsung Galaxy Z Flip 4 5G SM-F721U 128GB 256GB Locked- For  T-Mobile/Metro,319.95,339.95,81.79
651,Samsung Galaxy Note 20 N980F Factory Unlocked 256GB Gray Good Light Burn,219.99,219.99,32.55
652,Samsung Galaxy Note 10 SM-N970U Factory Unlocked 256GB Aura Black C,179.99,179.99,31.37
653,Samsung Galaxy S10+ Plus G975U 128GB - Prism Black - Factory Unlocked GSM/CDMA A,203.73,203.73,55.12
654,Samsung Galaxy S21 5G 128GB Unlocked Phantom Gray Excellent Condition,220.0,220.0,62.05
655,"AT&T All Android Factory Unlock Service (Samsung, LG, HTC, Motorola & More)",14.99,14.99,26.50
656,New Samsung Galaxy Note 20 5G SM-N981U 128GB Fully Unlocked GSM+CDMA All Carrier,286.88,286.88,35.30
657,Samsung SGH F300  Ultra Music Unlocked Genuine fully working,69.0,69.0,20.00
658,Samsung Galaxy S20 5G SM-G981U - 128GB - Cosmic Grey  (Unlocked),341.74,341.74,32.19
659,ShockProof Case For Samsung S24 A13 A53 A34 A54 A52 A23 A12 Silicone Black Cover,4.42,6.32,20.62
660,Samsung Galaxy S21 SM-G991U 128GB T-MOBILE | AT&T | SPECTRUM | XFINITY - GOOD,164.99,184.99,30.93
661,Samsung Galaxy S7 SM-32GB GSM Unlocked Smartphone,69.0,69.0,28.10
662,"Samsung Galaxy S4 zoom C1010 SM-C101 Android HSDPA 4.3"" WI-FI 16MP Camera Phone",118.12,118.12,ree s
663,Samsung Galaxy S9 64GB GSM/CDMA Unlocked with Screen Shadow- Excellent,89.95,94.95,28.86
664,Samsung Galaxy A54 5G SM-A546U  128GB Black  GSM UNLOCKED -  Very Good,227.99,227.99,32.79
665,Samsung Galaxy Z Fold 4 5G - 256GB - Gray Green - Demo Unit,349.99,349.99,37.16
666,METRO BY TMOBILE SAMSUNG GALAXY A03S 32GB Black Prepaid Smartphone BRAND NEW,73.99,73.99,40.00
667,"Vintage Phone Lot of 20 Mix Nokia, Samsung, HTC, LG, Alcatel - For Parts/Repair",39.99,39.99,56.41
668,New ListingSamsung Galaxy S24 256GB 8GB RAM - Oynx Black **SM-S921B/DS** UK Model,923.98,923.98,52.28
669,"NEW Samsung Galaxy A71 5G, 128GB, Unlocked, with box and accessories, BLACK",240.48,240.48,28.69
670,Samsung Galaxy A71 5G A716U Sprint Unlocked 128GB Black C Heavy Burn,84.99,84.99,28.57
671,"New Listing⚠️READ⚠️ Samsung - Galaxy A54 5G 128GB (Unlocked) - SM-A546U1  Graphite, #4318",175.0,175.0,31.22
672,5Pcs Samsung Galaxy S20 5G G981U Unlocked 128GB GSM Smartphone,849.0,849.0,51.88
673,New Samsung Galaxy S8+ Plus SM-G955U1 64GB - Midnight Black Factory Unlocked,169.99,169.99,31.08
674,NEW OPEN BOX SAMSUNG GALAXY S21 ULTRA UNLOCKED 4 ALL CARRIER SM-G998U BLACK,375.0,375.0,37.12
675,Samsung Galaxy S24 - SM-S921U 128GB - Onyx Black (AT&T) BRAND NEW SEALED,669.0,669.0,45.80
676,Samsung Galaxy A34 5G SM-A346M/DS 128GB 6GB RAM FACTORY UNLOCKED INTERNATIONAL,257.64,257.64,34.43
677,New ListingNEW Samsung Galaxy A13 5G 64GB Black TracFone 1 Year of Service 1500/1500/1.5GB,110.0,110.0,40.18
678,Samsung Galaxy S10+ SM-G975U Verizon Unlocked 512GB Ceramic Black Very Good,179.99,179.99,32.14
679,"Samsung Galaxy S22 5G 128GB | 256GB FACTORY UNLOCKED 6.1"" Smartphone - GOOD.",298.0,328.0,34.85
680,WIFI Samsung Galaxy S i9000 Mobile Phone Original Touch screen Android GPS,62.59,62.59,ree s
681,Samsung Galaxy Note 20 Ultra 5G SM-N986U - 512GB - (Unlocked) Black *New in Box,799.97,799.97,50.43
682,Samsung Galaxy S7 G930F 32GB Black White Gold Silver Unlocked - GOOD ⭐,83.53,84.79, 
683,Samsung Galaxy Z Flip 3 5G SM-F711U Factory Unlocked 128GB Lavender C,169.99,169.99,31.08
684,Samsung Galaxy S8 64GB G950U Midnight Black - (AS-IS/For Parts) - Read Details,32.99,32.99,31.03
685,Samsung Galaxy A10e SM-A102U Metro PCS Unlocked 32GB Black C,49.99,49.99,27.54
686,For Samsung S22 Plus A13 A53 A33 A23 A12 GORILLA TEMPERED GLASS SCREEN PROTECTOR,4.42,4.42,20.56
687,Samsung Galaxy S20+ Plus 5G G986 Unlocked AT&T Sprint Smartphone | Very Good,159.0,159.0,30.75
688,Samsung Galaxy S20 Ultra 5G G988U - 128GB - Cosmic Grey (Unlocked) - IMAGE BURN,199.99,199.99,32.73
689,Samsung Galaxy Folder G1600 Dual SIM 16GB LTE Flip SmartPhone- New Sealed,99.75,99.75,ree s
690,"Samsung SGH-Z170 Starhub Cellphone Silver, International Singapore",14.99,14.99,55.81
691,New ListingSamsung Galaxy S20 5G SM-G981U 128GB BLUE GSM(T-MOBILE UNLOCKED)NEW OTHER SEALED,229.55,229.55,33.61
692,Samsung Galaxy Note 20 5G N981U 128GB Unlocked Android Smartphone | Shaded,189.99,199.99,31.96
693,Brand New Samsung Galaxy J700F 16GB-White-Android-Smartphone-Unlocked Warranty,75.93,75.93,23.02
694,Samsung Galaxy S22 5G S901B/DS 2022 128GB 256GB Dual SIM Unlocked Good Condition,379.71,379.71,27.83
695,For Samsung Galaxy S24 S23 S22 S21 ULTRA S20 FE  Bumper Shockproof Case Cover,5.05,7.58,12.66
696,"NEW Samsung Galaxy S21 5G G991U 128GB 6.2"" Fully Unlocked GSM+CDMA All Carriers",289.88,289.88,34.61
697,"NEW Samsung Galaxy Note 9, ALL COLOURS, 128GB, Unlocked Smartphone, sealed Box",240.47,240.48,28.69
698,Samsung Galaxy A32 5G All Colours & Storage (Unlocked) Android Smartphone - C,126.56,126.56,24.77
699,New SAMSUNG Galaxy A15 5G Factory Unlocked 256GB GSM Cell Phone INT. V BLBK,226.97,226.97,33.53
700,Samsung Galaxy S21 128GB | 256GB 5G FACTORY UNLOCKED Smartphone - GOOD,208.0,208.0,32.20
701,Samsung Galaxy S10 SM-G973U - 128GB - White (AT&T.H20 ) Fast Ship Read Please,89.5,89.5,62.05
702,Samsung Galaxy Z Flip 4 SM-F721U1 Factory Unlocked 128GB Bora Purple Good,279.99,279.99,34.32
703,Samsung Galaxy A15 128GB 4GB RAM 4G Dual Sim Unlocked Android Smartphone Sealed,240.48,240.48,28.69
704,"New ListingSamsung Galaxy Note 20 Ultra 5G SM-N986U,128GB,Unlk,LCD Dot,Fair Con:EE164",199.0,199.0,32.70
705,Samsung Galaxy A51 SM-A515U Sprint Unlocked 128GB Prism Crush Black C,79.99,79.99,28.42
706,OPEN BOX-Samsung Galaxy A53 5G SM-A536V- 128GB - Awesome Black (Verizon)*SAM61*,159.95,159.95,30.78
707,Shockproof Case For Samsung S22 Plus S21 S20 FE A13 A53 A52s A33 A32 A22 Cover,3.78,5.05,20.58
708,Samsung Galaxy A42 5G SM-A426U Verizon Unlocked 128GB Prism Dot Gray C,90.0,90.0,28.72
709,"Samsung Galaxy K Zoom C115 SM-C115 4.8"" 4G LTE Wi-Fi 20.7MP 10xOptical Zoom OIS",113.9,113.9,18.00
710,BRAND NEW Samsung Galaxy A23 - 64GB - Unlocked - All Colours -  12M Warranty,177.18,177.19,26.52
711,"New ListingGold Samsung Galaxy S7 Active- ATT- Unlocked, Pre-owned",40.0,40.0,38.24
712,Samsung Galaxy A14 5G SM-A146U - 64GB - Black (Verizon) (Bad Charging Port),39.98,39.98,19.98
713,For Samsung Galaxy Note20 S23 S22 S21 S20 Ultra Heavy Duty Case Clear Cover,9.45,9.45,26.34
714,Mint Samsung Galaxy Z Fold5 Fold 5 - 512GB F946U1 - Dark Blue - UNLOCKED + MORE,989.99,989.99,56.04
715,Samsung Galaxy S9 PlusSM-G960 - 64GB - Black (Unlocked) (Single SIM),234.16,234.16,28.48
716,Samsung Note 5 N920V 4G VoLTE Black / White (Verizon) Smartphone,89.99,109.99,29.31
717,Samsung Galaxy S20 FE 5G G781U 128GB (Unlocked) Cellphone,159.0,159.0,30.75
718,"NEW Samsung Galaxy A21s, 64GB, Unlocked android phone, NEVER USED, All Colours",164.42,164.42,26.07
719,Samsung Galaxy S21 5G All Colours & Storage Duos (Unlocked) Smartphone C-Grade,240.48,240.48,28.69
720,Samsung Galaxy S21 5G Unlocked G991U 128GB Android Smartphone Good,199.0,199.0,31.93
721,Samsung Galaxy S21 Ultra 5G - 128GB - Black (Unlocked) (MUST READ DESCRIPTION),138.5,138.5,30.92
722,Samsung Galaxy Note 20 5G N981U 128GB Gray Green Bronze Factory Unlocked - Good,215.0,215.0,32.40
723,New ListingSamsung Galaxy S22 Ultra 5G Cracked Screen Damaged LCD For Parts Only Read Ad,100.0,100.0,35.78
724,Samsung Galaxy S20+ Plus 5G Unlocked G986U 128GB Android Smartphone Good Shadow,174.0,174.0,31.19
725,Samsung Galaxy S10e/S10/S10+ Plus - Verizon/T-Mobile/AT&T Or Unlocked- Excellent,99.99,221.51,32.37
726,Samsung Galaxy A42 5G SM-A426U Factory Unlocked 128GB Prism Dot Black C,84.99,84.99,28.57
727,OEM! Samsung Galaxy S22 Ultra Burgundy Phantom White Black Green Back Plate,19.99,19.99,26.65
728,SAMSUNG Galaxy S22 5G S901U 128GB/256GB - US Carriers Unlocked Smartphone - NEW,410.0,475.0,38.16
729,BRAND NEW Samsung Galaxy S20+ Plus 5G G986U 128GB Fully Unlocked - Cosmic Black,249.99,249.99,34.21
730,Factory Unlocked Samsung Galaxy Note 20 5G 128GB 8GB RAM Gray Smartphone - Good,219.0,219.0,32.52
731,Samsung Galaxy S21 5G Unlocked G991U 128GB Android Smartphone Good Shadow,189.0,189.0,31.64
732,Original Android Samsung I8530 Galaxy Beam 3G 8GB ROM with Built-in Projector,101.87,101.87,ree s
733,Samsung Galaxy NOTE 10 PLUS N975U1 256GB / 512GB (FACTORY UNLOCKED) ❖SEALED❖w,338.95,338.95,36.83
734,SAMSUNG Galaxy S21 5G 128GB Phantom Gray! Without Simlock!,421.27,421.27,21.60
735,Samsung Galaxy S21 FE 5G SM-G990U2 Factory Unlocked 128GB Graphite Good,189.99,189.99,31.67
736,Samsung Galaxy S24 Ultra 5G AI 256GB 512GB 1TB Unlocked New Sealed,1485.49,1839.49,25.49
737,NEW UNLOCKED SAMSUNG GALAXY S22 ULTRA 5G SM-S908U ALL COLORS AND MEMORY GSM+CDMA,608.88,789.88,44.02
738,Samsung Galaxy A24 4G 4GB Ram /A34 /A54 5G 128GB 6GB Ram Unlocked Android Purple,215.16,341.74,32.19
739,New Samsung Galaxy S22 Ultra 5G SM-S908U1 FACTORY UNLOCKED & FREE GIFT,725.0,725.0,47.45
740,New Samsung Galaxy A34 Smartphone 128GB / 6GB Unlocked 5G Dual Sim All Colours,265.74,265.74,29.57
741,Samsung Galaxy Note 20 Ultra Boost T-Mobile AT&T Verizon Mint Unlocked N986U B-,305.0,305.0,44.28
742,Samsung Galaxy Z Flip 3 5G SM-F711U1 Factory Unlocked 256GB Phantom Black Good,204.99,204.99,32.11
743,New Sealed Samsung Galaxy A15 Smartphone 128GB Unlocked 4G Dual Sim All Colours,174.65,174.65,26.43
744,Genuine Samsung Galaxy S10 Plus 128GB Unlocked S10+ NEW Sealed UK Stock SM-G975,379.59,379.59,33.50
745,Samsung Galaxy A02S (SM-A025U) 32GB Black Unlocked Smartphone-Good,59.5,59.5,27.82
746,"Samsung Galaxy Beam2 SM-G3858 4.66"" 5MP 3G Smartphone with Built-in Projector",100.69,100.69,18.00
747,Samsung Galaxy Note20 5G 128GB  Mystic Grey -Mystic Brone - Green( Unlocked) New,379.71,379.71,33.50
748,Samsung Galaxy Z Flip (5G) SM-F707W T-Mobile/ At&t 256GB Mystic Bronze Very Good,209.99,209.99,32.26
749,Samsung Galaxy A54/5G/128GB Unlocked Android SmartPhone Black/Lime/Purple /White,341.74,341.74,32.19
750,NEW UNLOCKED SAMSUNG GALAXY A23 5G SM-A236U BLACK 64 GB GSM+CDMA,184.88,184.88,31.52
751,Factory Unlocked Samsung Galaxy NOTE 20 5G (SM-N981U) 128GB Gray - Pristine,275.0,275.0,34.95
752,Samsung Galaxy S22 Ultra 128GB Black White Burgundy Green (Unlocked) Open Box,525.0,525.0,42.32
753,Samsung Galaxy A14 A145F 64GB GSM Factory Unlocked International Version (NEW),139.99,139.99,30.19
754,Samsung Note 20 5G - SM-N981U - T-Mobile/Verizon/AT&T Or Unlocked - GOOD,193.99,218.24,31.78
755,Samsung Galaxy A54 5G 128GB 8GB RAM Dual Sim Unlocked Andriod Smartphone Sealed,354.4,354.4,32.63
756,Samsung Flip Phone E1272 Big Button Basic Flip Phone - Unlocked - Dual Sim,32.26,32.26,18.97
757,New ListingSamsung Galaxy Note10 SM-N970U - 256GB - Aura Black (Unlocked) (Single SIM),104.5,104.5,29.92
758,Samsung Galaxy S9 SM-G960U 64GB GSM Unlocked for AT&T T-Mobile Verizon,121.99,121.99,29.66
759,Samsung Galaxy S21 Ultra 5G SM-G998B - 128GB - Phantom Black (Unlocked),227.51,227.51,19.56
760,New ListingSamsung Galaxy Note 20 Ultra 5G T-Mobile AT&T Verizon- Unlocked N986U - READ,33.0,33.0,33.81
761,SAMSUNG GALAXY NOTE 10 S10 S20+ Ultra S21 - FULLY UNLOCKED GSM/CDMA- MANY MODELS,109.99,329.99,30.19
762,Samsung Galaxy A14 A145M 128GB GSM Factory Unlocked International Version (NEW),153.99,153.99,30.60
763,"NEW Samsung Galaxy A52s 5G - 128GB - (Unlocked) - never used, Dual Sim, BLACK",253.14,253.14,29.14
764,Samsung Galaxy S21 | S21+ 5G 128GB 256GB - Unlocked Verizon T-Mobile AT&T Metro,204.95,344.95,33.58
765,Samsung Galaxy S21 | S21+ 5G 128GB 256GB - Unlocked Verizon T-Mobile AT&T Metro,204.95,344.95,33.58
766,Samsung Galaxy S10e SM-G970U 128GB Black Verizon & GSM UNLOCKED SEALED NEW OTHER,149.88,149.88,31.26
767,Samsung Galaxy A04 A04s A04e 32GB 64GB 128GB Unlocked Any Network New SEALED,107.58,141.75,24.77
768,Samsung Galaxy S21 SM-G991U - 128GB - Phantom Gray (Unlocked),234.95,234.95,32.99
769,Samsung Galaxy A32 5G - 64GB - SM-A326U (Unlocked) (Single SIM) Smartphone,89.95,124.95,28.72
770,Samsung Galaxy S10+ Plus SM-G975U - 128GB  (Unlocked) - Excellent,199.99,199.99,31.96
771,Samsung Galaxy S23 Ultra 5G SM-S918U Black 128GB REPORTED/CRACK,220.0,220.0,32.55
772,Samsung Galaxy S23 SM-S911U - 128GB - Black (Carrier Unlocked),529.98,529.98,41.70
773,NEW UNLOCKED SAMSUNG GALAXY S21 5G SM-G991U ALL COLORS AND MEMORY GSM+CDMA,280.88,280.88,34.35
774,Samsung Galaxy NOTE 20 ULTRA - 128GB - Fully Unlocked - VERY GOOD - (BURN),314.99,314.99,35.35
775,Samsung Galaxy Z Flip 4 SM-F721U1 Factory Unlocked 256GB Pink Gold Good,274.99,274.99,34.95
776,Samsung Galaxy Z Fold Gray Green 4 SM-F936U 512GB Unlocked - Good  See Pics/READ,237.5,237.5,33.84
777,Samsung Galaxy S20+ Plus 5G G986U1 128GB Unlocked 10/10 Condition - Cloud Blue,224.99,224.99,32.70
778,Factory UNLOCKED Samsung Galaxy S10 128GB - OPEN BOX,184.95,184.95,31.52
779,"Samsung Galaxy A20s Dual SIM 6.5"" 32GB/ 64GB Unlocked Smartphone-- New Unopened",133.64,140.16,ree s
780,Samsung Galaxy S20+ Plus 5G G986U Unlocked 128GB,179.0,179.0,32.11
781,Samsung Galaxy Folder2 SM-G1650 Dual SIM Flip Unlocked SmartPhone - New Unopened,140.0,140.0,ree s
782,Samsung Galaxy S20+ 5G SM-G986U - 128GB (Unlocked) - Cosmic Black,149.95,149.95,30.49
783,Samsung Galaxy A03s 32GB - Black (Unlocked),89.99,89.99,28.72
784,"Samsung Galaxy A14 5G - 128GB (GSM UNLOCKED) 4GB RAM Dual Sim 6.6"" Display NEW",179.99,179.99,31.37
785,SAMSUNG GALAXY NOTE 20 ULTRA 5G N986U1 (FACTORY UNLOCKED) 128GB│512GB ❖SEALED❖,448.95,448.95,40.08
786,Samsung Galaxy A54 5G A546E 128GB 8GB RAM GSM Unlocked Global Version NEW,314.95,314.95,35.35
787,Samsung Galaxy Z Fold4 5G F936U1 512GB (Unlocked) Verizon T-Mobile AT&T 9U-B,554.0,554.0,42.40
788,Samsung Galaxy A54 5G SM-A546U 128GB Black 6.4'' A Series (UNLOCKED) - B Grade,199.0,199.0,31.93
789,Samsung Galaxy S8 Plus - 64 GB - Unlocked SIM - Black - Working - Good! Read!,92.5,92.5,28.79
790,NEW UNLOCKED SAMSUNG GALAXY S23 ULTRA 5G SM-S918U ALL COLORS AND MEMORY GSM+CDMA,898.88,898.88,52.58
791,Samsung Galaxy S20 5G Unlocked G981U 128GB Android Smartphone Good Shadow,158.0,158.0,30.72
792,Samsung Galaxy S20 5G Unlocked G981U 128GB Android Smartphone,144.0,144.0,30.31
793,Samsung Galaxy A71 UW 5G SM-A716U 128GB Prism Black T-Mobile Factory Unlocked OB,179.99,179.99,24.11
794,NEW Samsung Galaxy S10+Plus SM-G975U  128GB  Factory Unlocked Smartphones SEALED,259.99,259.99,34.50
795,"Samsung Galaxy A20 SM-A205U 32GB ROM 3GB RAM 6.4"" Unlocked Smartphone-New Sealed",107.0,107.0,ree s
796,Samsung Galaxy S10e SM-G970U 128GB Black Verizon Smartphone NEW OTHER SEALED BOX,139.55,139.55,30.95
797,Samsung Galaxy Note 20 Ultra 5G T-Mobile AT&T Verizon- Unlocked N986U - READ,38.0,38.0,33.96
798,Samsung Galaxy S20+ Plus 5G Unlocked G986U 128GB Android Smartphone Good,199.0,199.0,31.93
799,Samsung Galaxy S21 5G Unlocked G991U 128GB Android Smartphone Excellent,247.0,247.0,33.35
800,SAMSUNG GALAXY S20+ PLUS 5G 128 GB UNLOCKED BLACK BRAND NEW,341.75,341.75,38.77
801,New ListingSamsung Galaxy S21+ - 128GB - Black (L-Verizon) (Read Description) AD1074,42.0,42.0,27.30
802,New ListingSamsung Galaxy S9 SM-G960 - 64GB - Midnight Black (Unlocked),80.0,80.0,35.94
803,Samsung Galaxy S8 Active - 64GB (GSM Unlocked) T-Mobile AT&T Metro Cricket,63.85,144.95,30.34
804,Samsung Galaxy A04e Dual Sim 32GB Unlocked Andriod Smartphone 4G LTE All Colours,101.25,101.25,23.90
805,For PARTS Only Samsung Galaxy S21 Ultra 128GB 5G D GRADE CRACKED READ!!!,125.0,125.0,29.75
806,Samsung Galaxy Folder2 SM-G1650 Android Big Keyboad Dual SIM 4G LTE Flip Phone,105.4,105.4,18.00
807,Samsung Galaxy S10 SM-G973 - 128GB - Prism Black (AT&T),43.0,43.0,27.33
808,Samsung Galaxy S8 SM-G950U - 64GB - Midnight Black (Verizon),19.0,19.0,36.39
809,New SAMSUNG Galaxy A15 Factory Unlocked 128GB GSM Cell Phone INT. V BLBK,168.87,168.87,31.82
810,New ListingSamsung Galaxy S9 SM-G960 - 64GB - Lilac Purple (Unlocked)(Single SIM),39.24,39.24,31.64
811,Samsung Galaxy Note 4 SM-N910 - 32GB - Charcoal Black (Unlocked) Smartphone,66.26,66.26,28.02
812,Samsung Galaxy S10E G970U (UNLOCKED) ALL COLORS (EXCELLENT CONDITION),129.0,129.0,29.87
813,"Samsung Galaxy A14 5G - 64GB (GSM UNLOCKED) 4GB RAM 6.6"" Display Black Mint",129.99,129.99,29.90
814,Samsung Galaxy S10E G970U (UNLOCKED) ALL COLORS (EXCELLENT CONDITION),129.0,129.0,29.87
815,Samsung Galaxy S9+ Plus 64GB | Factory Unlocked | Verizon AT&T T-Mobile,129.0,129.0,29.87
816,"Factory Unlocked Samsung Galaxy S20 FE 5G 128GB 6.5"" (SM-G781U) - Very Good",199.0,199.0,31.93
